更新时间,#genre#
2025-03-30 16:29:42,url


央视频道,#genre#
内蒙古卫视[785x576],http://116.30.251.13:8088/udp/239.77.1.55:5146
内蒙古卫视[785x576],http://113.104.185.200:7088/udp/239.77.1.55:5146
内蒙古卫视标清,http://27.46.65.16:17088/udp/239.0.1.31:8176
内蒙古卫视标清,http://27.46.65.16:17088/udp/239.0.1.31:8176
北京卫视,http://114.254.147.143:23234/udp/239.3.1.241:8000
北京卫视,http://114.254.145.176:23234/udp/239.3.1.241:8000
北京卫视,http://114.254.147.143:23234/udp/239.3.1.241:8000
北京卫视[4k],http://114.254.145.176:23234/udp/239.3.1.22:8001
北京卫视[4k],http://114.254.147.143:23234/udp/239.3.1.22:8001
北京卫视[4kHDR],http://114.254.145.176:23234/udp/239.3.1.118:8001
北京卫视[4kHDR],http://114.254.147.143:23234/udp/239.3.1.118:8001
北京卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.0.91:5146
北京卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.0.91:5146
北京卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.1.151:5146
北京卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.1.4:5146
北京卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.0.91:5146
北京卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.1.151:5146
北京卫视[1920x1080],http://113.104.185.200:7088/udp/239.77.1.4:5146
北京卫视标清,http://27.46.65.16:17088/udp/239.0.1.12:8240
北京卫视标清,http://27.46.65.16:17088/udp/239.0.1.12:8240
北京卫视高清,http://27.46.65.16:17088/udp/239.0.1.83:8024
北京卫视高清,http://27.46.65.16:17088/udp/239.0.1.83:8024
厦门卫视[785x576],http://116.30.251.13:8088/udp/239.77.0.96:5146
厦门卫视[785x576],http://113.104.185.200:7088/udp/239.77.0.96:5146
厦门卫视标清,http://27.46.65.16:17088/udp/239.0.1.46:4120
厦门卫视标清,http://27.46.65.16:17088/udp/239.0.1.46:4120
吉林卫视,http://114.254.145.176:23234/udp/239.3.1.240:8172
吉林卫视,http://114.254.147.143:23234/udp/239.3.1.240:8172
吉林卫视[1920x1080],http://116.30.251.13:8088/udp/239.77.0.150:5146
